Model,MAE,RMSE,MAPE,R2
LSTM (Bansal 2023),41.6984,42.9297,49.057,-6.4555
CNN-LSTM (Bi 2023),60.2712,62.6735,68.7881,-14.8903
Bi-LSTM (Xing 2024),46.0841,47.5975,54.1563,-8.165
Transformer (Lackinger 2024),21.4943,23.2328,26.4251,-1.1836
CEEMDAN+CNN-BiLSTM (Proposed),8.8245,12.2116,12.529,0.3967
